id,fila,columna,lat,lon,pendiente_grados,ndvi,humedad,viento_u,viento_v,prob_ignicion
4370318c-243f-4d9f-9064-9b2ac18f4bf5,16,46,-14.022867,-68.908222,20.3075,0.3385,0.3838,0.3246,-0.2576,0.052
008e34aa-b57d-4ae4-9e75-ccd53ffbc1b2,16,47,-14.022867,-68.903722,31.2154,0.347,0.3838,0.3246,-0.2576,0.0414
f7b3887b-6fd5-4f19-8083-2734450266ab,16,48,-14.022867,-68.899222,24.2424,0.3442,0.3838,0.3246,-0.2576,0.0148
1ef21dcc-6028-47f6-a2bc-a3dbce6e6150,16,49,-14.022867,-68.894722,18.3054,0.3346,0.3838,0.3246,-0.2576,0.0141
43d07d2e-c9e6-46ae-a41e-620c4959cd29,16,50,-14.022867,-68.890222,33.3982,0.3509,0.3838,0.3246,-0.2576,0.5794
29eab2dc-f629-4dde-aa18-c4985c547d3e,16,51,-14.022867,-68.885722,11.6486,0.3509,0.3838,0.3246,-0.2576,0.0186
d9e85112-ee26-4400-a605-75b2cae3a33c,16,52,-14.022867,-68.881222,18.3054,0.3434,0.3838,0.3246,-0.2576,0.0099
54ee92f2-29b8-462e-b753-53ddeb03d615,16,53,-14.022867,-68.876722,21.8699,0.3408,0.3838,0.3246,-0.2576,0.0153
5136318f-f372-4119-a8a1-8ff8de71fba2,16,54,-14.022867,-68.872222,24.3887,0.3372,0.3838,0.3246,-0.2576,0.0149
e17ca6fd-b1e1-4f11-b89f-721129a7cbe4,16,55,-14.022867,-68.867722,24.4758,0.3217,0.3838,0.3246,-0.2576,0.0113
c8ff8d01-aa99-481c-89bb-3e82d2f20f2e,16,56,-14.022867,-68.863222,24.6343,0.34,0.3838,0.3246,-0.2576,0.0147
e1d10a1b-509f-401a-8635-7f080d7f51ec,16,57,-14.022867,-68.858722,29.5388,0.3724,0.3838,0.3246,-0.2576,0.0137
b4a936f0-4b17-425f-b7e9-ff80417980f2,16,58,-14.022867,-68.854222,26.2176,0.361,0.3838,0.3246,-0.2576,0.0063
3b3f3463-d900-4a01-80ac-3a416a8837ab,16,59,-14.022867,-68.849722,11.9767,0.339,0.3746,0.367,-0.275,0.0035
b2727e24-81d2-4f05-98b4-e0641e97cb53,16,60,-14.022867,-68.845222,23.6284,0.322,0.3746,0.367,-0.275,0.005
20163dab-5045-4284-acb5-10912a210ca3,16,61,-14.022867,-68.840722,11.9047,0.3238,0.3746,0.367,-0.275,0.0099
4ab497de-d125-46f8-bc98-866b36896998,16,62,-14.022867,-68.836222,24.154,0.3623,0.3746,0.367,-0.275,0.0067
56e6f54b-9931-4ad7-a97b-c5f63ae5b4ef,16,63,-14.022867,-68.831722,8.9356,0.3531,0.3746,0.367,-0.275,0.0014
bca1160a-6cdf-4c3f-b543-cf10f708c6f9,16,64,-14.022867,-68.827222,12.6382,0.3249,0.3746,0.367,-0.275,0.0019
9d4f55f5-7056-4e47-a430-c17a07999e85,16,65,-14.022867,-68.822722,19.1271,0.3265,0.3746,0.367,-0.275,0.0045
e600ca92-5322-4f78-82fe-6edad7f3035a,16,66,-14.022867,-68.818222,17.0357,0.3301,0.3746,0.367,-0.275,0.0008
d8210ecc-6d50-4593-87b9-10c6a41e485f,16,67,-14.022867,-68.813722,12.2601,0.3248,0.3746,0.367,-0.275,0.0015
1754c6e3-6347-40f3-83c8-02357010eee1,16,68,-14.022867,-68.809222,15.1797,0.3075,0.3746,0.367,-0.275,0.0027
a4af6967-35fa-4506-951c-c9c673931f59,16,69,-14.022867,-68.804722,16.5278,0.2763,0.3746,0.367,-0.275,0.0015
78efc838-a6d1-4f1d-bed5-a64134c88ad1,16,70,-14.022867,-68.800222,9.4623,0.2776,0.3746,0.367,-0.275,0.002
25d583b0-abbd-43bb-98c7-a431c2030f65,16,71,-14.022867,-68.795722,16.4289,0.2823,0.3746,0.367,-0.275,0.0028
cd853173-55b8-47ff-964e-540796ca3d25,16,72,-14.022867,-68.791222,,0.259,0.3746,0.367,-0.275,0.0025
889503ca-d83a-4e3d-9d92-50dee412abc0,17,42,-14.027367,-68.926222,35.9834,0.3524,0.3838,0.3246,-0.2576,0.1221
c80c4104-ff15-441e-b69b-37eb3be406b6,17,43,-14.027367,-68.921722,31.0513,0.3633,0.3838,0.3246,-0.2576,0.1351
f531df8f-753a-467c-bc9c-43c93744299b,17,44,-14.027367,-68.917222,3.9311,0.3589,0.3838,0.3246,-0.2576,0.0708
ea38aa4d-c305-457c-af1e-fe1bd2407494,17,45,-14.027367,-68.912722,11.4995,0.3899,0.3838,0.3246,-0.2576,0.0949
08876118-6f19-439a-9c1e-7d28692af81c,17,46,-14.027367,-68.908222,23.5672,0.3646,0.3838,0.3246,-0.2576,0.3189
ea28be6e-d713-4f26-a14a-4d582fea9310,17,47,-14.027367,-68.903722,16.6015,0.3447,0.3838,0.3246,-0.2576,0.0917
6434841f-b9b6-405e-83f3-7027343c28ab,17,48,-14.027367,-68.899222,12.2251,0.3611,0.3838,0.3246,-0.2576,0.0193
27da46b2-f73a-4aca-9121-ed3c8a2b6f7e,17,49,-14.027367,-68.894722,25.9157,0.3586,0.3838,0.3246,-0.2576,0.0187
6f9a54d8-f398-41cf-b2e1-8e83abe01019,17,50,-14.027367,-68.890222,31.0027,0.347,0.3838,0.3246,-0.2576,0.028
5f96b502-313d-471f-8631-b0998d5025cc,17,51,-14.027367,-68.885722,16.2287,0.3471,0.3838,0.3246,-0.2576,0.0197
698abe51-6551-42b9-a2f4-86f6f4bbd9df,17,52,-14.027367,-68.881222,23.7501,0.328,0.3838,0.3246,-0.2576,0.0347
3b678a56-468c-42aa-b6db-84076f836c7e,17,53,-14.027367,-68.876722,28.9876,0.3368,0.3838,0.3246,-0.2576,0.0233
e4ee61d2-63cc-4e6b-9ce2-e7864d185e7c,17,54,-14.027367,-68.872222,24.6916,0.3487,0.3838,0.3246,-0.2576,0.0169
6adb18b7-21ae-4c35-ab6d-1943db33f9cb,17,55,-14.027367,-68.867722,23.9758,0.3469,0.3838,0.3246,-0.2576,0.0112
c04706e7-3c17-4e12-a1df-9ba1b905f953,17,56,-14.027367,-68.863222,17.5713,0.3321,0.3838,0.3246,-0.2576,0.0376
